name	ttype	x	y	clr_red	clr_green	clr_blue
Alexandrov507:001-0002-03TD	CLL	2.924388e+00	0	128	102	128
Alexandrov507:003-0005-09TD	CLL	3.004763e+00	0	128	102	128
Alexandrov507:012-02-1TD	CLL	2.948627e+00	1.030928e+00	128	102	128
Alexandrov507:125	CLL	3.241623e+00	0	128	102	128
Alexandrov507:128	CLL	3.211694e+00	0	128	102	128
Alexandrov507:137	CLL	3.284611e+00	0	128	102	128
Alexandrov507:141	CLL	3.497711e+00	0	128	102	128
Alexandrov507:151	CLL	3.380868e+00	3.636364e-01	128	102	128
Alexandrov507:178	CLL	3.464166e+00	0	128	102	128
Alexandrov507:192	CLL	3.482999e+00	0	128	102	128
Alexandrov507:26	CLL	3.253727e+00	0	128	102	128
Alexandrov507:277	CLL	2.719570e+00	0	128	102	128
Alexandrov507:282	CLL	3.254709e+00	0	128	102	128
Alexandrov507:294	CLL	2.729832e+00	0	128	102	128
Alexandrov507:306	CLL	3.214834e+00	2.941176e-01	128	102	128
Alexandrov507:308	CLL	3.338464e+00	0	128	102	128
Alexandrov507:318	CLL	3.095777e+00	0	128	102	128
Alexandrov507:342	CLL	3.268729e+00	0	128	102	128
Alexandrov507:343	CLL	3.206737e+00	4.608295e-01	128	102	128
Alexandrov507:367	CLL	3.390908e+00	0	128	102	128
Alexandrov507:393	CLL	3.317158e+00	0	128	102	128
Alexandrov507:400220	AML	2.437375e+00	0	77	115	140
Alexandrov507:4101316	DLBCL	3.353442e+00	0	84	77	115
Alexandrov507:4105105	DLBCL	3.531689e+00	0	84	77	115
Alexandrov507:4108101	DLBCL	3.500448e+00	5.115090e-01	84	77	115
Alexandrov507:4112512	DLBCL	3.310207e+00	0	84	77	115
Alexandrov507:4116738	DLBCL	3.887170e+00	0	84	77	115
Alexandrov507:4119027	DLBCL	3.374831e+00	3.278689e-01	84	77	115
Alexandrov507:4121361	DLBCL	3.778930e+00	0	84	77	115
Alexandrov507:4125240	DLBCL	3.296628e+00	0	84	77	115
Alexandrov507:4133511	DLBCL	3.548889e+00	0	84	77	115
Alexandrov507:4135350	DLBCL	4.110790e+00	3.164557e-01	84	77	115
Alexandrov507:4142267	DLBCL	3.177288e+00	3.875969e-01	84	77	115
Alexandrov507:4158726	DLBCL	3.615282e+00	0	84	77	115
Alexandrov507:4159170	DLBCL	3.516418e+00	0	84	77	115
Alexandrov507:4163639	DLBCL	4.578120e+00	0	84	77	115
Alexandrov507:4175837	DLBCL	3.649778e+00	0	84	77	115
Alexandrov507:4177856	DLBCL	3.548273e+00	0	84	77	115
Alexandrov507:4182393	DLBCL	3.180084e+00	3.921569e-01	84	77	115
Alexandrov507:4189200	DLBCL	3.540159e+00	2.392344e-01	84	77	115
Alexandrov507:4189998	DLBCL	3.540758e+00	0	84	77	115
Alexandrov507:4190495	DLBCL	3.668581e+00	0	84	77	115
Alexandrov507:4193278	DLBCL	3.423580e+00	3.533569e-01	84	77	115
Alexandrov507:4194218	DLBCL	3.315398e+00	0	84	77	115
Alexandrov507:4194891	DLBCL	3.228752e+00	0	84	77	115
Alexandrov507:426980	AML	2.905735e+00	0	77	115	140
Alexandrov507:452198	AML	2.045502e+00	0	77	115	140
Alexandrov507:467	CLL	3.457812e+00	0	128	102	128
Alexandrov507:473	CLL	3.320837e+00	0	128	102	128
Alexandrov507:477	CLL	3.478891e+00	0	128	102	128
Alexandrov507:519	CLL	3.195799e+00	0	128	102	128
Alexandrov507:523	CLL	3.523903e+00	7.092199e-01	128	102	128
Alexandrov507:564	CLL	2.883693e+00	0	128	102	128
Alexandrov507:573988	AML	2.154524e+00	0	77	115	140
Alexandrov507:758168	AML	2.633639e+00	0	77	115	140
Alexandrov507:804168	AML	2.776805e+00	0	77	115	140
Alexandrov507:869586	AML	3.029552e+00	0	77	115	140
Alexandrov507:APGI_1839	PANC	3.693576e+00	1.140251e-01	97	71	48
Alexandrov507:APGI_1840	PANC	4.065713e+00	1.921230e-01	97	71	48
Alexandrov507:APGI_1956	PANC	3.665347e+00	1.127396e-01	97	71	48
Alexandrov507:APGI_1992	PANC	3.975391e+00	2.564103e-01	97	71	48
Alexandrov507:APGI_2000	PANC	3.877341e+00	2.629273e-01	97	71	48
Alexandrov507:APGI_2051	PANC	3.602510e+00	4.807692e-01	97	71	48
Alexandrov507:APGI_2057	PANC	4.176129e+00	4.120879e-01	97	71	48
Alexandrov507:APGI_2060	PANC	3.809535e+00	1.177856e-01	97	71	48
Alexandrov507:APGI_2119	PANC	3.572511e+00	1.319261e-01	97	71	48
Alexandrov507:APGI_2137	PANC	4.046010e+00	1.041667e-01	97	71	48
Alexandrov507:APGI_2150	PANC	3.040890e+00	0	97	71	48
