minus0	looplen	looppos	rate	sd
1	3	1	0	NaN
1	3	2	5.533679e-02	3.913554e-02
1	3	3	3.288983e+00	3.520698e-01
1	4	1	2.953495e-02	2.953758e-02
1	4	2	3.474918e-02	2.457396e-02
1	4	3	1.101629e-01	4.928270e-02
1	4	4	1.036686e+00	1.415151e-01
1	5	1	5.463528e-02	5.464428e-02
1	5	2	1.489808e-01	7.452383e-02
1	5	3	7.956239e-02	5.627259e-02
1	5	4	4.301676e-01	1.298684e-01
1	5	5	1.191493e-01	5.330433e-02
1	6	1	7.759053e-02	5.487762e-02
1	6	2	9.179090e-02	5.301016e-02
1	6	3	2.482456e-02	2.482642e-02
1	6	4	7.511424e-02	4.337704e-02
1	6	5	2.004645e-01	7.581423e-02
1	6	6	2.540417e-02	1.796484e-02
1	7	1	4.506446e-02	4.507058e-02
1	7	2	1.413652e-01	7.071268e-02
1	7	3	8.390764e-02	5.934666e-02
1	7	4	7.128995e-02	5.042043e-02
1	7	5	2.150711e-01	8.785930e-02
1	7	6	1.272693e-01	6.365905e-02
1	7	7	1.162499e-01	6.714042e-02
1	8	1	0	NaN
1	8	2	2.233809e-02	2.233960e-02
1	8	3	1.076984e-01	6.219989e-02
1	8	4	1.046200e-01	6.042144e-02
1	8	5	1.089000e-01	6.289410e-02
1	8	6	1.541216e-01	6.895730e-02
1	8	7	1.177834e-01	5.891260e-02
1	8	8	0	NaN
2	3	1	3.782826e-02	2.184265e-02
2	3	2	8.530970e-02	3.816146e-02
2	3	3	1.434785e+00	1.787309e-01
2	4	1	4.205306e-02	2.428242e-02
2	4	2	7.250169e-02	3.243082e-02
2	4	3	1.901746e-01	5.493014e-02
2	4	4	4.376299e-01	9.798597e-02
2	5	1	2.251389e-02	2.251542e-02
2	5	2	7.314946e-02	4.224217e-02
2	5	3	4.612937e-02	3.262293e-02
2	5	4	4.478153e-01	1.028744e-01
2	5	5	1.652389e-01	6.749206e-02
2	6	1	5.596830e-02	3.231876e-02
2	6	2	5.054908e-02	3.574904e-02
2	6	3	7.346253e-02	4.242300e-02
2	6	4	9.939738e-02	3.314238e-02
2	6	5	1.775046e-01	5.919984e-02
2	6	6	1.351567e-01	5.519995e-02
2	7	1	7.214233e-02	3.607901e-02
2	7	2	6.704136e-02	3.871416e-02
2	7	3	4.829085e-02	3.415176e-02
2	7	4	1.403389e-01	4.679941e-02
2	7	5	2.152664e-01	6.811736e-02
2	7	6	9.238717e-02	3.772740e-02
2	7	7	5.468210e-02	2.445861e-02
2	8	1	8.615873e-02	3.518329e-02
2	8	2	4.689863e-02	3.316703e-02
2	8	3	9.140996e-02	4.089104e-02
2	8	4	0	NaN
2	8	5	5.811138e-02	3.355650e-02
2	8	6	3.490268e-02	2.468252e-02
2	8	7	4.633979e-02	2.675803e-02
2	8	8	1.561774e-01	5.905729e-02
3	3	1	6.370795e-02	3.186009e-02
3	3	2	5.243399e-02	3.708229e-02
3	3	3	7.594529e-01	1.413492e-01
3	4	1	5.960034e-02	2.665887e-02
3	4	2	1.478359e-01	5.229118e-02
3	4	3	1.972508e-01	6.241324e-02
3	4	4	2.948837e-01	7.378640e-02
3	5	1	5.311375e-02	2.375699e-02
3	5	2	1.135452e-01	6.557777e-02
3	5	3	8.687296e-02	5.016926e-02
3	5	4	4.929684e-01	1.197399e-01
3	5	5	1.134675e-01	6.553291e-02
3	6	1	5.670307e-02	2.835638e-02
3	6	2	2.111803e-01	7.986942e-02
3	6	3	2.600335e-02	1.838858e-02
3	6	4	5.090577e-02	3.600134e-02
3	6	5	1.949487e-01	5.036511e-02
3	6	6	1.184772e-01	5.925976e-02
3	7	1	5.326721e-02	3.075877e-02
3	7	2	6.654396e-02	4.706312e-02
3	7	3	4.990296e-02	3.529203e-02
3	7	4	7.099256e-02	3.550387e-02
3	7	5	1.064205e-01	4.345993e-02
3	7	6	1.237156e-01	5.534792e-02
3	7	7	9.917953e-02	5.727844e-02
3	8	1	1.282566e-01	4.849516e-02
3	8	2	3.602418e-02	3.602809e-02
3	8	3	5.724594e-02	4.048597e-02
3	8	4	6.289892e-02	3.632159e-02
3	8	5	5.355087e-02	3.787229e-02
3	8	6	1.046596e-01	4.681996e-02
3	8	7	1.094147e-01	5.472537e-02
3	8	8	1.017335e-01	5.875387e-02
4	3	1	6.836943e-01	1.343595e-01
4	3	2	1.020949e+00	1.543866e-01
4	3	3	2.194376e+01	7.021089e-01
4	4	1	5.522416e-01	1.534189e-01
4	4	2	5.883253e-01	1.076033e-01
4	4	3	4.316890e+00	3.314924e-01
4	4	4	6.381821e+00	3.936031e-01
4	5	1	5.297433e-01	1.768627e-01
4	5	2	5.736894e-01	9.713870e-02
4	5	3	6.650035e-01	1.095448e-01
4	5	4	7.619235e+00	4.362798e-01
4	5	5	1.633482e+00	2.174223e-01
4	6	1	4.216705e-01	1.492724e-01
