stem_strength_bin	GAAC_rate	GAAC_sd	AAAC_rate	AAAC_sd	GTTC_rate	GTTC_sd	ATTC_rate	ATTC_sd
<4	2.770004e-01	1.464332e-02	3.692418e-01	1.034301e-02	7.653347e-01	2.437170e-02	9.239771e-01	1.926209e-02
4	2.704738e-01	1.491276e-02	3.520388e-01	1.478876e-02	7.914847e-01	2.561039e-02	9.497569e-01	2.494352e-02
6	2.598287e-01	1.984200e-02	2.936470e-01	1.764217e-02	7.787175e-01	3.417386e-02	9.352340e-01	3.436014e-02
8	3.379268e-01	4.136630e-02	2.925136e-01	3.361128e-02	1.158384e+00	7.656796e-02	1.056052e+00	5.729102e-02
10	4.444463e-01	7.325725e-02	2.717624e-01	5.238423e-02	1.250314e+00	1.235016e-01	1.528272e+00	1.322208e-01
12	1.443864e+00	2.019209e-01	3.137320e-01	8.717401e-02	2.890560e+00	2.882207e-01	1.513235e+00	2.077497e-01
14	3.148940e+00	5.201993e-01	4.188245e-01	1.714050e-01	5.298314e+00	6.826135e-01	2.329353e+00	4.461958e-01
16	3.705532e+00	8.922324e-01	6.008578e-01	3.014886e-01	5.970024e+00	1.146867e+00	2.423855e+00	6.817717e-01
18	5.485251e+00	1.633736e+00	0	NaN	8.227876e+00	2.031001e+00	6.712214e+00	2.012683e+00
20+	1.805764e+01	4.058601e+00	0	NaN	1.956244e+01	4.255049e+00	4.181379e+00	1.748514e+00
