stem_strength_bin	ApC_rate	ApC_sd	CpC_rate	CpC_sd	GpC_rate	GpC_sd	TpC_rate	TpC_sd
<4	3.245128e-02	2.481689e-03	4.588060e-02	3.129169e-03	3.407641e-02	3.442350e-03	1.034120e+00	1.274087e-02
4	3.490018e-02	3.877929e-03	7.496639e-02	6.525459e-03	3.467595e-02	4.403998e-03	1.549397e+00	2.390931e-02
6	4.163550e-02	5.125181e-03	7.890867e-02	5.357077e-03	3.314302e-02	3.638036e-03	2.113424e+00	2.888022e-02
8	1.239328e-01	1.586987e-02	1.975922e-01	1.720147e-02	8.137926e-02	1.241120e-02	2.572856e+00	6.195721e-02
10	1.359579e-01	2.616853e-02	2.754989e-01	2.664056e-02	1.416336e-01	2.544161e-02	3.671392e+00	1.151368e-01
12	1.931344e-01	4.685071e-02	3.509607e-01	5.121021e-02	1.156344e-01	3.090805e-02	4.460104e+00	1.605893e-01
14	4.613536e-01	1.233568e-01	5.324349e-01	1.044727e-01	3.122966e-01	8.664160e-02	7.419003e+00	3.803114e-01
16	1.102341e+00	2.949262e-01	9.563244e-01	2.088796e-01	3.568183e-01	1.261977e-01	1.244446e+01	5.302623e-01
18	1.220495e+00	4.988515e-01	1.347465e+00	3.894850e-01	2.835021e-01	2.005211e-01	1.910047e+01	1.466051e+00
20	3.902826e+00	1.385045e+00	1.503483e+00	6.733528e-01	3.188308e-01	3.189289e-01	1.913886e+01	2.113895e+00
22+	6.468901e+00	1.962586e+00	3.073475e+00	1.165105e+00	1.471875e+00	8.509939e-01	3.378914e+01	3.805017e+00
