name	ttype	nmut	pct_vCTg_hp	x	y	clr_red	clr_green	clr_blue
PCAWG2279:CGP_donor_1212361	BRCA	65065	4.851330e+00	4.813363e+00	4.851330e+00	255	128	128
Nik-Zainal560:PD9063a	BRCA_nonTNBC	50045	3.328710e+00	4.699380e+00	3.328710e+00	255	179	179
Nik-Zainal560:PD13604a	BRCA_nonTNBC	93102	3.053435e+00	4.968969e+00	3.053435e+00	255	179	179
PCAWG2279:TCGA-CV-6961	HNSC	49453	2.318230e+00	4.694215e+00	2.318230e+00	0	0	255
PCAWG2279:TCGA-EW-A1J5	BRCA_nonTNBC	43929	2.314050e+00	4.642776e+00	2.314050e+00	255	179	179
PCAWG2279:TCGA-BT-A3PJ	BLCA	51896	2.072968e+00	4.715158e+00	2.072968e+00	230	230	0
PCAWG2279:CPCG0046	PRAD	16016	1.986755e+00	4.204628e+00	1.986755e+00	179	179	140
Nik-Zainal560:PD4977a	BRCA_TNBC	42258	1.802885e+00	4.625932e+00	1.802885e+00	255	77	179
Nik-Zainal560:PD24217a	BRCA_nonTNBC	15305	1.793722e+00	4.184902e+00	1.793722e+00	255	179	179
PCAWG2279:TCGA-BT-A3PH	BLCA	38004	1.592920e+00	4.579853e+00	1.592920e+00	230	230	0
PCAWG2279:CGP_donor_1602529	BOCA	2561	1.567398e+00	3.408892e+00	1.567398e+00	179	153	128
PCAWG2279:TCGA-55-6982	LUAD	33038	1.517067e+00	4.519041e+00	1.517067e+00	179	26	0
PCAWG2279:TCGA-DK-A1A5	BLCA	34116	1.446051e+00	4.532995e+00	1.446051e+00	230	230	0
PCAWG2279:TCGA-DJ-A13L	THCA	3030	1.435407e+00	3.481740e+00	1.435407e+00	161	166	209
Alexandrov507:LUAD-S01345	LUAD	39202	1.416122e+00	4.593333e+00	1.416122e+00	179	26	0
Nik-Zainal560:PD13609a	BRCA_nonTNBC	4706	1.298701e+00	3.672889e+00	1.298701e+00	255	179	179
PCAWG2279:TCGA-GD-A2C5	BLCA	25212	1.293661e+00	4.401648e+00	1.293661e+00	230	230	0
PCAWG2279:TCGA-A8-A092	BRCA_nonTNBC	7844	1.286174e+00	3.894672e+00	1.286174e+00	255	179	179
PCAWG2279:TCGA-H4-A2HQ	BLCA	59185	1.271676e+00	4.772230e+00	1.271676e+00	230	230	0
PCAWG2279:TCGA-BJ-A191	THCA	2107	1.214575e+00	3.324087e+00	1.214575e+00	161	166	209
PCAWG2279:TCGA-EY-A1GS	UCEC	37604	1.214128e+00	4.575266e+00	1.214128e+00	166	0	140
Nik-Zainal560:PD8609a	BRCA_nonTNBC	5087	1.193317e+00	3.706656e+00	1.193317e+00	255	179	179
PCAWG2279:TCGA-AR-A0TX	BRCA_nonTNBC	31634	1.188119e+00	4.500184e+00	1.188119e+00	255	179	179
Alexandrov507:PD4607a	BRCA	25464	1.169591e+00	4.405963e+00	1.169591e+00	255	128	128
Nik-Zainal560:PD11379a	BRCA_nonTNBC	19382	1.108647e+00	4.287451e+00	1.108647e+00	255	179	179
Nik-Zainal560:PD11345a	BRCA_nonTNBC	10351	1.086957e+00	4.015099e+00	1.086957e+00	255	179	179
Nik-Zainal560:PD18257a	BRCA_nonTNBC	2973	1.084011e+00	3.473501e+00	1.084011e+00	255	179	179
PCAWG2279:TCGA-60-2698	LUSC	133882	1.072235e+00	5.126729e+00	1.072235e+00	255	0	0
PCAWG2279:TCGA-CN-6011	HNSC	49681	1.070664e+00	4.696216e+00	1.070664e+00	0	0	255
Nik-Zainal560:PD14439a	BRCA_nonTNBC	1316	1.063830e+00	3.119964e+00	1.063830e+00	255	179	179
PCAWG2279:RK110	LIVER	6473	1.056338e+00	3.811292e+00	1.056338e+00	179	153	128
Nik-Zainal560:PD5937a	BRCA_nonTNBC	76097	1.055195e+00	4.881380e+00	1.055195e+00	255	179	179
Nik-Zainal560:PD13767a	BRCA_nonTNBC	2638	1.038961e+00	3.421764e+00	1.038961e+00	255	179	179
PCAWG2279:TCGA-49-6742	LUAD	47720	1.038961e+00	4.678722e+00	1.038961e+00	179	26	0
